uor;prefixo;subordinada;nome_dependencia;nome_municipio;uf;lote;predio_nash
4367;0545;00;VALENCA             ;VALENCA                     ;BA;5;f3f26a95fd73
11965;2474;00;POMERODE            ;POMERODE                    ;SC;6;f3fd924fb18e
5204;0715;00;SAO SEBASTIAO-SP    ;SAO SEBASTIAO               ;SP;5;f418b8960e1d
13278;2866;00;LITORAL NORTE-BA    ;LAURO DE FREITAS            ;BA;3;f453aa22d8e4
1313;0079;00;BOTUCATU            ;BOTUCATU                    ;SP;3;f50d88db5db2
13557;2913;00;EMPRESA TAQUARAL    ;CAMPINAS                    ;SP;4;f528dc577d6c
14650;3196;00;LUCAS DO RIO VERDE  ;LUCAS DO RIO VERDE          ;MT;5;f5a56a598d00
12018;2490;00;PORTO UNIAO         ;PORTO UNIAO                 ;SC;5;f6223fb98088
21954;4075;00;BAIRRO SAO CRISTOVAO;CABO FRIO                   ;RJ;3;f642e747ae02
4001;0472;00;EMPRESA ABOLICAO    ;RIO DE JANEIRO              ;RJ;5;f656ce31bd5b
12872;2776;00;AFUBRA              ;SANTA CRUZ DO SUL           ;RS;5;f658fe454ec7
1776;0128;00;CAICO               ;CAICO                       ;RN;4;f6b7f6c44ff2
5909;0872;00;STA.RITA DO SAPUCAI ;SANTA RITA DO SAPUCAI       ;MG;5;f6c938e5c775
14499;3158;00;SHOPPING ITAIGARA   ;SALVADOR                    ;BA;5;f6d0ca392ff2
4546;0578;00;MOGI-MIRIM          ;MOGI-MIRIM                  ;SP;5;f6eb7853d8da
5841;0857;00;LORENA              ;LORENA                      ;SP;5;f7056349c982
7484;1242;00;EMPRESA GOYAZES     ;GOIANIA                     ;GO;88;f7078f0461d3
9113;1610;00;AVENIDA GOIAS       ;GOIANIA                     ;GO;5;f7078f0461d3
1547;0096;00;FLORIANO            ;FLORIANO                    ;PI;4;f7262a0d75ab
19837;9407;00;PSV MACEIO          ;MACEIO                      ;AL;3;f75f4d8f173c
15350;3385;00;SHOPPING BARRA      ;SALVADOR                    ;BA;5;f77bb5e46f2e
13445;2896;00;GONZAGA             ;SANTOS                      ;SP;5;f7be9d442552
452950;9151;00;ESCR.EXC.V.REDONDA  ;VOLTA REDONDA               ;RJ;88;f80fd8950128
13060;2814;00;PARTENON            ;PORTO ALEGRE                ;RS;6;f8100266bc0a
8637;1530;00;ITAQUERA            ;SAO PAULO                   ;SP;4;f81afc9f2f7b
1964;0158;00;ALAGOINHAS          ;ALAGOINHAS                  ;BA;5;f85ebd4970ea
15960;3546;00;FRANCISCO PORTO     ;ARACAJU                     ;SE;5;f8ebcd4f0c0e
10278;1852;00;PARQUE DAS NACOES   ;SANTO ANDRE                 ;SP;5;f9485dd3939a
9426;1644;00;BIGUACU             ;BIGUACU                     ;SC;5;f9b5ab16f098
13106;2825;00;AV.CORIOLANO JUCA   ;MACAPA                      ;AP;5;f9f834001939
8918;1600;00;RUA DO LIVRAMENTO   ;MACEIO                      ;AL;2;fa1d9626dc68
1360;0083;00;CACHOEIRO ITAPEMIRIM;CACHOEIRO DE ITAPEMIRIM     ;ES;2;fa32317bce0d
1055;0056;00;PIRACICABA          ;PIRACICABA                  ;SP;2;fae5895bdc6b
4473;0566;00;PINHEIRO            ;PINHEIRO                    ;MA;5;faf63361178c
15248;3338;00;SANDRA REGINA       ;BARREIRAS                   ;BA;3;fb34490c6a3d
85626;5977;00;ESTILO SEN.FEDERAL  ;BRASILIA                    ;DF;88;fbb7145d5f79
7500;1244;00;VISCONDE            ;CURITIBA                    ;PR;3;fbba9b0239e1
9220;1619;00;CID.UNIVERSITARIA-PB;JOAO PESSOA                 ;PB;4;fc47b67820c7
1593;0101;00;MEIER               ;RIO DE JANEIRO              ;RJ;3;fc4f7f8bde15
14560;3175;00;EMPRESA ITABUNA BA  ;ITABUNA                     ;BA;2;fc60afb3dce2
7172;1213;00;JARDIM SATELITE     ;SAO JOSE DOS CAMPOS         ;SP;5;fcdc50a0adcd
2219;0187;00;SAO BORJA           ;SAO BORJA                   ;RS;5;fcdf1122d80e
16526;3674;00;GAROPABA            ;GAROPABA                    ;SC;5;fda5b3784343
3504;0381;00;PARANAVAI           ;PARANAVAI                   ;PR;4;fdc52f6532d0
6407;0990;00;SUMARE              ;SUMARE                      ;SP;3;fe3cee554b18
7607;1257;00;SANTA CRUZ          ;RIO DE JANEIRO              ;RJ;4;fe48d5451a33
7071;1196;00;LIBERDADE           ;SAO PAULO                   ;SP;3;fea8c0a21bcd
8691;1541;00;JARDIM TREMEMBE     ;SAO PAULO                   ;SP;6;febd571687ae
16447;3653;00;BENFICA-CE          ;FORTALEZA                   ;CE;88;ff8698bd04ee
5336;0735;00;MEDIANEIRA          ;MEDIANEIRA                  ;PR;6;fff239d99d25
